Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
0,Town Hall,313,american,American (New),$$,Jacksonville,32207,FL,4.5,Yes,Yes,No
1,The Bearded Pig,1261,american,Barbeque,$$,Jacksonville,32207,FL,4.5,Yes,No,No
2,BB's,850,american,American (New),$$,Jacksonville,32207,FL,4.5,Yes,Yes,No
3,Southern Charm,235,american,Soul Food,$$,Jacksonville,32207,FL,4.5,Yes,Yes,No
4,Bar Molino,20,american,Tapas/Small Plates,,Jacksonville,32207,FL,5.0,No,No,No
5,Cava,3,american,Salad,,Jacksonville,32202,FL,5.0,No,No,No
6,Spliff's Gastropub,319,bars/cocktail,Gastropubs,$$,Jacksonville,32202,FL,4.0,Yes,Yes,No
7,Cultural Kitchen & Catering,34,american,Southern,,Jacksonville,32207,FL,5.0,Yes,Yes,No
8,Pink Salt Restaurant & Wine Bar,164,unique_foregin,Caribbean,$$,Jacksonville,32207,FL,4.0,Yes,No,Yes
9,Tepeyolot Cerveceria,53,bars/cocktail,Brewpubs,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
10,TAVERNA,466,italian,Italian,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
11,GangNam Korean Restaurant,302,asian/sushi,Korean,$$,Jacksonville,32207,FL,4.5,Yes,Yes,No
12,Bellwether,182,bars/cocktail,Cocktail Bars,$$,Jacksonville,32202,FL,4.5,Yes,Yes,No
13,Southbank Johnnie's,9,american,American (Traditional),,Jacksonville,32207,FL,4.0,No,No,No
14,The Bread & Board,558,cafe/breakfast,Sandwiches,$$,Jacksonville,32202,FL,4.5,Yes,No,No
15,Floating Sea Aquatics,18,dessert/bakery,Aquarium Services,,Jacksonville,32217,FL,5.0,No,No,No
16,The Olive Tree Mediterranean Grille,197,american,Falafel,$$,Jacksonville,32207,FL,4.5,Yes,No,No
17,Purple Roots,151,unique_foregin,Filipino,$$,Jacksonville,32216,FL,4.0,No,No,No
18,Rue Saint Marc,217,unique_foregin,French,$$,Jacksonville,32207,FL,4.0,Yes,No,No
19,The Local,225,cafe/breakfast,Coffee & Tea,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
20,River & Post,838,bars/cocktail,Lounges,$$,Jacksonville,32204,FL,4.0,Yes,No,No
21,Buteko Restaurant Bar & Grill,8,bars/cocktail,Sports Bars,,Jacksonville,32216,FL,5.0,No,No,No
22,The French Pantry,927,dessert/bakery,Bakeries,$$,Jacksonville,32217,FL,4.5,Yes,No,No
23,Cowford Chophouse,479,cafe/breakfast,Steakhouses,$$$,Jacksonville,32202,FL,4.0,Yes,Yes,No
24,Silkie's Chicken and Champagne Bar,183,american,Southern,$$,Jacksonville,32206,FL,4.5,No,No,No
25,Top Pot BBQ,52,american,Hot Pot,,Orange Park,32073,FL,4.5,No,No,No
26,Metro Diner,851,cafe/breakfast,Breakfast & Brunch,$$,Jacksonville,32207,FL,4.5,Yes,Yes,No
27,Seafood Island Bar & Grille,167,seafood,Seafood,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
28,Southern Grounds,234,cafe/breakfast,Cafes,$$,Jacksonville,32207,FL,4.5,Yes,No,No
29,Beach Road Fish House & Chicken Dinners,392,american,Chicken Shop,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
30,Twisting Roots,44,convenience,Food Trucks,$,Jacksonville,32216,FL,4.5,Yes,No,No
31,Mabins Jollof bowls,1,unique_foregin,African,,Jacksonville,32207,FL,5.0,Yes,Yes,No
32,Black Sheep Restaurant,1075,american,American (New),$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
33,Flavorikan,19,convenience,Food Trucks,,Jacksonville,32211,FL,5.0,Yes,No,No
34,Escape Restaurant & Bar,253,unique_foregin,Mediterranean,$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
35,Kusina,31,unique_foregin,Filipino,,Jacksonville,32204,FL,4.5,Yes,No,No
36,Carolina Jax,257,american,Burgers,$$,Jacksonville,32204,FL,4.5,Yes,Yes,No
37,Taste of Jamaica,2,unique_foregin,Caribbean,,Jacksonville,32216,FL,4.5,No,No,No
38,Super Food and Brew,282,american,American (New),$$,Jacksonville,32202,FL,4.5,No,No,No
39,Bistro AIX,453,unique_foregin,French,$$$,Jacksonville,32207,FL,4.0,Yes,Yes,Yes
40,Prospect Five Points,105,american,Tapas/Small Plates,$$,Jacksonville,32204,FL,4.5,Yes,No,No
41,T H C Trap House Chicken,136,american,Chicken Wings,$$,Jacksonville,32277,FL,4.5,Yes,Yes,No
42,The Choppin Coppin,26,unique_foregin,Caribbean,,Jacksonville,32207,FL,4.5,Yes,Yes,No
43,The Southern Grill,222,unique_foregin,Mediterranean,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
44,Blue Orchid Thai Cuisine,74,asian/sushi,Thai,$$,Jacksonville,32204,FL,4.5,Yes,Yes,No
45,RH Rooftop Restaurant Jacksonville,107,american,Tapas/Small Plates,$$$,Jacksonville,32246,FL,4.0,No,No,No
46,The Southern Italian,26,american,Meat Shops,$$,Jacksonville,32207,FL,4.5,No,No,No
47,Matthew's Restaurant,255,american,American (New),$$$,Jacksonville,32207,FL,4.0,Yes,No,No
48,Hawkers Asian Street Food,1745,american,Tapas/Small Plates,$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
49,Rustic 21 Bistro,15,unique_foregin,Brazilian,,Jacksonville,32216,FL,5.0,No,No,No
50,Bold City Downtown,45,bars/cocktail,Bars,$,Jacksonville,32202,FL,4.5,Yes,No,No
51,S&R Dim Sum,236,american,Dim Sum,$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
52,Jax Fish Fry,195,american,Fish & Chips,$$,Jacksonville,32256,FL,4.5,Yes,No,No
53,Arepa Please,199,cafe/breakfast,Coffee & Tea,$$,Jacksonville,32202,FL,4.5,Yes,Yes,No
54,V Pizza - San Marco,807,italian,Pizza,$$,Jacksonville,32207,FL,4.5,Yes,No,No
55,Kiko Sushi Ramen,80,american,Ramen,$$,Jacksonville,32256,FL,4.5,Yes,Yes,No
56,Soupa Noodle Bar,378,american,Ramen,$$,Jacksonville,32216,FL,4.5,Yes,Yes,No
57,Indulgence Southern Bistro,2,american,Southern,,Jacksonville,32202,FL,5.0,Yes,Yes,No
58,Sweet Mama's Southern Homestyle Cookin,77,american,Southern,,Jacksonville,32211,FL,4.5,Yes,Yes,No
59,K-Bop Korean Kitchen,31,asian/sushi,Korean,$$,Jacksonville,32216,FL,4.5,Yes,Yes,No
60,Empanada's Factory Latin Fusion,376,cafe/breakfast,Breakfast & Brunch,$$,Jacksonville,32256,FL,4.5,Yes,Yes,No
61,Spices Carribean Restaurant,126,unique_foregin,Caribbean,$$,Jacksonville,32211,FL,4.0,Yes,No,No
62,El Cemi Puerto Rican Cuisine,4,unique_foregin,Puerto Rican,,Jacksonville,32216,FL,5.0,No,No,No
63,El Agave Azul - Baymeadows ,203,mexican/tex-mex,New Mexican Cuisine,$$,Jacksonville,32217,FL,4.5,Yes,Yes,No
64,Midtown Table,259,italian,Italian,$$,Jacksonville,32256,FL,4.5,No,No,No
65,Kathy's Table,63,american,Gluten-Free,$,Jacksonville,32216,FL,4.5,Yes,No,No
66,90 Miles from Cuba,5,unique_foregin,Cuban,,Jacksonville,32246,FL,4.5,Yes,No,No
67,Soul Food Bistro,447,american,Southern,$$,Jacksonville,32225,FL,4.0,Yes,No,No
68,River Club,21,convenience,Caterers,$$$$,Jacksonville,32202,FL,4.0,No,No,No
69,Le Petit Paris,439,unique_foregin,French,$$,Jacksonville,32257,FL,4.5,Yes,Yes,No
70,Stonewood Grill & Tavern,249,american,American (New),$$,Jacksonville,32217,FL,4.0,Yes,Yes,No
71,Sara's Bakery Cafe,33,dessert/bakery,Bakeries,,Jacksonville,32207,FL,4.5,Yes,Yes,No
72,Island Wing Grill & Bar - Jacksonville,237,american,Chicken Wings,$$,Jacksonville,32216,FL,3.5,Yes,Yes,No
73,Fore Score A Golf Tavern,11,bars/cocktail,Sports Bars,,Jacksonville,32207,FL,4.5,No,No,No
74,Korean BBQ House,137,asian/sushi,Korean,$$,Orange Park,32073,FL,4.0,Yes,No,No
75,Mi Veracruz Restaurant,135,mexican/tex-mex,Mexican,$,Jacksonville,32207,FL,4.5,Yes,No,No
76,Ocean Street Tacos,32,mexican/tex-mex,Tacos,,Jacksonville,32202,FL,4.5,Yes,Yes,No
77,Indochine,386,asian/sushi,Thai,$$,Jacksonville,32202,FL,4.0,Yes,Yes,No
78,European Street Cafe,190,cafe/breakfast,Sandwiches,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
79,China Dragon,51,asian/sushi,Chinese,$,Jacksonville,32207,FL,4.5,Yes,No,No
80,Marianas Grinds,436,american,Hawaiian,$,Jacksonville,32246,FL,4.5,Yes,No,No
81,Balkan Cafe,101,unique_foregin,Modern European,$,Jacksonville,32216,FL,5.0,Yes,No,No
82,Jumpin' Jax House of Food,27,american,Burgers,$$,Jacksonville,32202,FL,4.5,Yes,Yes,No
83,Modu Ramen,323,american,Ramen,$$,Jacksonville,32256,FL,4.5,Yes,Yes,No
84,True Food Kitchen,438,american,American (New),$$,Jacksonville,32246,FL,4.5,Yes,Yes,No
85,Mesa,52,unique_foregin,Indian,$$,Jacksonville,32210,FL,5.0,No,No,No
86,Homespun Kitchen,9,cafe/breakfast,Breakfast & Brunch,,Jacksonville,32204,FL,4.5,No,No,No
87,Shor Seafood Grill & Tavern,24,american,American (New),$$,Jacksonville,32202,FL,3.0,Yes,No,No
88,Sr. Ceviche,3,unique_foregin,Peruvian,,Jacksonville,32257,FL,4.0,Yes,Yes,No
89,1928 Cuban Bistro,255,unique_foregin,Cuban,$$,Jacksonville,32217,FL,4.5,Yes,Yes,No
90,Wicked Barley Brewing,576,american,American (Traditional),$$,Jacksonville,32217,FL,4.0,Yes,No,No
91,Casa Bonita Mexican Bar and Grill,4,mexican/tex-mex,Mexican,,Jacksonville,32217,FL,5.0,No,No,No
92,Fresh From the Garden,22,cafe/breakfast,Cafes,$,Jacksonville,32207,FL,4.5,Yes,No,No
93,Maple Street Biscuit Company - San Marco,1093,american,Southern,$,Jacksonville,32204,FL,4.5,Yes,No,No
94,The Cookbook Restaurant,58,american,American (Traditional),,Jacksonville,32206,FL,4.0,Yes,Yes,No
95,Crispy's Springfield Gallery,211,italian,Pizza,$$,Jacksonville,32206,FL,4.5,Yes,No,No
96,Thai Spice Kitchen,202,asian/sushi,Thai,$$,Jacksonville,32216,FL,4.0,Yes,No,No
97,Sake House 2,171,asian/sushi,Sushi Bars,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
98,Bodrum Mediterranean Kitchen,229,unique_foregin,Mediterranean,$$,Jacksonville,32244,FL,4.5,Yes,Yes,No
99,Bay Street Bar and Grill,94,bars/cocktail,Bars,$,Jacksonville,32202,FL,4.0,Yes,Yes,No
100,Altoque Colombian Food,28,unique_foregin,Colombian,,Jacksonville,32257,FL,4.5,Yes,Yes,No
101,Underbelly,27,bars/cocktail,Bars,$$,Jacksonville,32202,FL,3.5,No,No,No
102,The Juicy Crab,446,seafood,Seafood,$$,Jacksonville,32246,FL,4.0,Yes,No,No
103,Hightide Burrito & Bar,57,mexican/tex-mex,Mexican,$$,Jacksonville,32210,FL,4.0,Yes,No,No
104,Bazille,197,american,American (New),$$,Jacksonville,32246,FL,4.5,Yes,No,No
105,Noble Italian & American restaurant,1,italian,Pizza,,Jacksonville,32277,FL,5.0,No,No,No
106,Lakeside Cafe,3,american,Restaurants,,Jacksonville,32256,FL,4.5,Yes,No,No
107,Southern Coast Seafood,179,seafood,Seafood,$$,Jacksonville,32225,FL,4.5,Yes,No,No
108,Chopstick Charley's,32,unique_foregin,Cantonese,$,Jacksonville,32207,FL,3.5,Yes,No,No
109,Rice and Noodles,125,asian/sushi,Korean,$,Jacksonville,32225,FL,4.5,Yes,No,No
110,Tasty Pot,96,asian/sushi,Taiwanese,$$,Jacksonville,32256,FL,4.5,Yes,Yes,No
