Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
0,The Ice Plant,1908,bars/cocktail,Cocktail Bars,$$,St. Augustine,32084,FL,4.5,Yes,No,No
1,Prohibition Kitchen,1634,bars/cocktail,Bars,$$,St. Augustine,32084,FL,4.0,Yes,Yes,No
2,The Floridian,1384,american,Southern,$$,St. Augustine,32084,FL,4.5,Yes,No,No
3,St Augustine Fish Camp,405,seafood,Seafood,$$,St. Augustine,32084,FL,4.5,Yes,No,No
4,Harry's Seafood Bar and Grille,2629,seafood,Seafood,$$,St. Augustine,32084,FL,4.5,Yes,No,No
5,River & Fort,141,bars/cocktail,Bars,,St. Augustine,32084,FL,4.0,No,No,No
6,Casa Reina Taqueria & Tequila,232,mexican/tex-mex,Mexican,$$,St. Augustine,32084,FL,4.0,No,No,No
7,PK’s Roosevelt Room,171,bars/cocktail,Venues & Event Spaces,$$,St. Augustine,32084,FL,5.0,Yes,No,No
8,The Drunken Horse,104,bars/cocktail,Wine Bars,,St. Augustine,32084,FL,4.5,Yes,No,No
9,Catch 27,746,american,Southern,$$,St. Augustine,32084,FL,4.5,Yes,No,No
10,Preserved,460,american,Southern,$$$,St. Augustine,32084,FL,4.5,Yes,No,No
11,Sainte-George Restaurant,100,unique_foregin,Modern European,,St. Augustine,32084,FL,4.5,No,No,No
12,Collage Restaurant,535,american,American (New),$$$,St. Augustine,32084,FL,4.5,No,No,No
13,The Blue Hen Cafe,793,american,Southern,$$,St. Augustine,32084,FL,4.5,Yes,No,No
14,Forgotten Tonic,464,bars/cocktail,Wine Bars,$$,St. Augustine,32084,FL,4.0,Yes,No,No
15,Ancient City Brunch Bar,78,cafe/breakfast,Cafes,$$,St. Augustine,32084,FL,4.5,No,No,No
16,Mojo Old City BBQ,1174,american,Barbeque,$$,St. Augustine,32084,FL,4.5,Yes,No,No
17,St. Augustine Seafood Company,386,seafood,Seafood,$$,St. Augustine,32084,FL,4.0,Yes,No,No
18,O'Steen's Restaurant,596,seafood,Seafood,$$,St. Augustine,32080,FL,4.5,Yes,No,No
