Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
01/03/2021,03:53 pm,JHS-A-73822,Tyson,Dog,Mixed Breed (Small),,2,Small (1-19),Male,Yes,No,Stray,No ID,32277,32277,981020039595033,01/07/2021,10:06 am,Adoption,On Site Adoption,32277
01/03/2021,03:52 pm,JHS-A-73821,Trevor,Dog,Mixed Breed (Small),,2,Small (1-19),Male,Yes,No,Stray,No ID,32277,32277,981020037911127,01/07/2021,10:09 am,Adoption,On Site Adoption,32277
01/03/2021,03:36 pm,JHS-A-73820,Tommy,Dog,Mixed Breed (Small),,1,Small (1-19),Male,Yes,No,Stray,No ID,32277,32277,981020039569046,02/09/2021,12:48 pm,Adoption,On Site Adoption,32277
01/03/2021,03:35 pm,JHS-A-73819,Tammy,Dog,Mixed Breed (Small),,2,Small (1-19),Female,Yes,No,Stray,No ID,32277,32277,981020037918045,01/09/2021,06:36 am,Adoption,On Site Adoption,32277
01/03/2021,03:20 pm,JHS-A-73818,Garlic,Dog,Mixed Breed (Medium),,24,Large (60-99),Male,Yes,No,Stray,No ID,32211,32211,981020039611226981,01/09/2021,09:22 am,Adoption,On Site Adoption,32211
01/03/2021,02:35 pm,JHS-A-66011,Marino,Dog,Mixed Breed (Medium),,37,Medium (20-59),Male,No,Yes,Owner/Guardian Surrender,Behavior- By Appt,32216,,981020029424649,01/12/2021,12:55 pm,Adoption,On Site Adoption,32216
01/03/2021,02:25 pm,JHS-A-73817,Angel,Cat,Domestic Shorthair,,12,,Female,Yes,No,Owner/Guardian Surrender,No Time For- By Appt,32226,,981020037899099,01/07/2021,09:45 am,Adoption,On Site Adoption,32226
01/03/2021,02:18 pm,JHS-A-73816,Sunflower,Cat,Domestic Shorthair,,7,,Female,Yes,No,Stray,No ID,32207,32207,981020039461682,01/20/2021,10:40 am,Adoption,On Site Adoption,32207
01/03/2021,10:52 am,JHS-A-67458,Camellia,Dog,Mixed Breed (Medium),,48,Medium (20-59),Female,Yes,No,Stray,Microchipped,32216,32216,981020029887952,01/03/2021,09:00 am,Return to Owner/Guardian,By Microchip,32216
01/03/2021,10:50 am,JHS-A-73813,Toony,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,Drop Off,32254,32254,981020037736729,02/17/2021,09:12 am,Adoption,On Site Adoption,32254
01/03/2021,10:50 am,JHS-A-73812,Loony,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,Drop Off,32254,32254,981020039592882,02/17/2021,09:53 am,Adoption,On Site Adoption,32254
01/03/2021,10:45 am,JHS-A-73811,Tumbles,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,Drop Off,32254,32254,981020039556425,02/17/2021,09:42 am,Adoption,On Site Adoption,32254
01/03/2021,10:35 am,JHS-A-73810,Thumblina,Cat,Domestic Shorthair,,4,,Female,Yes,No,Owner/Guardian Surrender,Unknown- By Appt,32225,,981020037467590,01/07/2021,12:20 pm,Adoption,On Site Adoption,32225
