Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
01/01/2018,07:40 pm,JHS-A-46525,Denver,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Stray,Drop Off,32277,32277,981020025430070,01/15/2018,04:02 pm,Adoption,On Site Adoption,32277
01/01/2018,04:28 pm,JHS-A-46524,Cello,Dog,Mixed Breed (Small),Mix,96,,Female,No,Yes,Stray,Drop Off,32216,32216,981020025455297,01/23/2018,08:05 pm,Adoption,On Site Adoption,32216
01/01/2018,04:01 pm,JHS-A-46523,Earl,Dog,Mixed Breed (Small),Mix,96,,Male,No,Yes,Stray,Drop Off,32246,32246,981020025426511,01/02/2018,07:02 pm,Return to Owner/Guardian,By Other (specify in memo),32246
01/01/2018,12:04 pm,JHS-A-46522,Delilah,Dog,Mixed Breed (Large),Mix,60,,Female,No,Yes,Stray,Drop Off,32226,32226,982000357762819,01/01/2018,02:49 pm,Return to Owner/Guardian,By Other (specify in memo),32226
01/04/2018,09:32 pm,JHS-A-46577,Riku,Dog,Mixed Breed (Large),Mix,60,,Male,No,Yes,Transfer In,Transfer,-,,981020025031163,01/05/2018,03:28 pm,Adoption,On Site Adoption,
01/04/2018,09:18 pm,JHS-A-46576,Charlee,Cat,Domestic Shorthair,Mix,2,,Female,No,Yes,Transfer In,Transfer,-,,981020025330176,01/26/2018,07:12 pm,Adoption,On Site Adoption,
01/04/2018,08:38 pm,JHS-A-46575,Lizzy,Cat,Domestic Shorthair,Mix,24,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,,,981020023010785,01/31/2018,05:45 pm,Adoption,PetSmart Southside #300,
01/04/2018,07:30 pm,JHS-A-46574,Snowball,Cat,Domestic Shorthair,Mix,35,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32254,,981020025441741,03/12/2018,04:45 pm,Adoption,On Site Adoption,32254
01/04/2018,06:27 pm,JHS-A-46572,Saratops,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32277,32277,981020023389113,02/27/2018,01:03 pm,Adoption,On Site Adoption,32277
01/04/2018,06:27 pm,JHS-A-46571,Lucky,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32277,32277,981020023385736,02/27/2018,12:20 pm,Adoption,On Site Adoption,32277
